Rk,Player,Pos,Age,Tm,G,MP,PER,TS_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,Player?-additional
1,Precious Achiuwa,C,23,TOR,35,827,15.6,0.555,0.261,0.338,9.6,23.7,16.1,6.3,1.4,2.8,11.1,19.1,0.7,0.9,1.7,0.097,-1.3,-1,-2.3,-0.1,achiupr01
2,Steven Adams,C,29,MEM,42,1133,17.6,0.564,0.004,0.49,19.9,25,22.5,11.2,1.5,3.6,19.8,14.4,1.3,2.1,3.4,0.145,-0.3,0.9,0.6,0.8,adamsst01
3,Bam Adebayo,C,25,MIA,54,1909,21.2,0.594,0.013,0.356,8.4,25.1,16.3,16.4,1.7,2.4,12.2,25.8,3,3.2,6.2,0.156,1.3,1,2.3,2.1,adebaba01
4,Ochai Agbaji,SG,22,UTA,37,557,8.7,0.617,0.6,0.123,4.8,7.4,6.1,4.2,0.4,0.6,7.4,11.2,0.7,0.1,0.8,0.069,-1.5,-1.4,-2.9,-0.1,agbajoc01
5,Santi Aldama,PF,22,MEM,54,1194,14.8,0.604,0.528,0.27,4.9,17.4,11.2,7.4,1.5,2.9,8.6,16,1.8,1.9,3.7,0.148,0.3,1.2,1.5,1,aldamsa01
6,Nickeil Alexander-Walker,SG,24,TOT,38,534,13.1,0.608,0.506,0.227,1.7,10.6,6.2,19.8,2.2,2.2,19.6,18.5,0.3,0.5,0.8,0.072,-0.6,1,0.4,0.3,alexani01
7,Grayson Allen,SG,27,MIL,54,1491,12.6,0.618,0.636,0.252,3.3,9.3,6.4,11.8,1.4,0.6,11.4,14.6,2.3,1.8,4.1,0.13,-0.5,0.7,0.2,0.8,allengr01
8,Jarrett Allen,C,24,CLE,54,1798,20,0.677,0.016,0.355,11.5,23.4,17.5,7.6,1.2,3.4,12.1,16.6,4.4,3.3,7.7,0.206,1.3,1.1,2.4,2,allenja01
9,Jose Alvarado,PG,24,NOP,58,1264,11.8,0.525,0.509,0.17,2.3,9.9,6.1,19.9,2.4,0.7,13.7,19.7,0.2,1.5,1.7,0.064,-1.9,0.5,-1.4,0.2,alvarjo01
10,Kyle Anderson,PF,29,MIN,48,1253,14.7,0.596,0.227,0.347,3.4,16.6,10.1,20.3,2.2,2.9,16,14,1.6,1.7,3.3,0.127,0,2.4,2.4,1.4,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,47,1554,28.4,0.595,0.143,0.617,7.5,30,19.1,31.4,1.1,2,13,39,3.5,2.9,6.4,0.197,5.4,2.5,7.9,3.9,antetgi01
12,Thanasis Antetokounmpo,SF,30,MIL,25,101,1.2,0.266,0.211,0.421,8.5,16.9,12.9,4.8,1,2.4,23.7,12.3,-0.3,0.1,-0.1,-0.066,-9.6,-1,-10.5,-0.2,antetth01
13,Cole Anthony,PG,22,ORL,39,977,15.8,0.559,0.343,0.303,2.7,18.1,10.4,24.7,1.1,2.4,12.2,21.2,1.2,1,2.2,0.111,0.6,0.7,1.3,0.8,anthoco01
