Rk,Player,Tm,2022_23,2023_24,2024_25,2025_26,2026_27,2027_28,Guaranteed,-9999
1,Aaron Gordon,DEN,"$19,690,909 ","$21,266,182 ","$22,841,455 ","$22,841,455 ",,,"$63,798,546 ",gordoaa01
2,Aaron Holiday,ATL,"$1,836,090 ",,,,,,"$1,836,090 ",holidaa01
3,Aaron Nesmith,IND,"$3,804,360 ","$5,634,257 ",,,,,"$9,438,617 ",nesmiaa01
4,Aaron Wiggins,OKC,"$1,563,518 ","$1,836,096 ","$1,988,598 ",,,,,wiggiaa01
5,AJ Griffin,ATL,"$3,536,160 ","$3,712,920 ","$3,889,920 ","$5,967,137 ",,,"$7,249,080 ",griffaj01
6,Al Horford,BOS,"$26,500,000 ","$10,000,000 ","$9,500,000 ",,,,"$46,000,000 ",horfoal01
7,Alec Burks,DET,"$10,012,800 ","$10,489,600 ",,,,,"$10,012,800 ",burksal01
8,Aleksej Pokusevski,OKC,"$3,261,480 ","$5,009,633 ",,,,,"$8,271,113 ",pokusal01
9,Alex Caruso,CHI,"$9,030,000 ","$9,460,000 ","$9,890,000 ",,,,"$28,380,000 ",carusal01
10,Alex Len,SAC,"$3,918,600 ",,,,,,"$3,918,600 ",lenal01
11,Alize Johnson,SAS,"$1,392,896 ",,,,,,"$1,392,896 ",johnsal02
12,Alperen ?engün,HOU,"$3,375,360 ","$3,536,280 ","$5,424,654 ",,,,"$6,911,640 ",sengual01
13,Amir Coffey,LAC,"$3,395,062 ","$3,666,667 ","$3,938,271 ",,,,"$11,000,000 ",coffeam01
14,Andre Drummond,CHI,"$3,200,000 ","$3,360,000 ",,,,,"$6,560,000 ",drumman01
15,Andre Iguodala,GSW,"$1,836,090 ",,,,,,"$1,836,090 ",iguodan01
16,Andrew Nembhard,IND,"$2,244,111 ","$2,131,905 ","$2,019,699 ","$2,187,451 ",,,"$6,395,715 ",nembhan01
17,Andrew Nicholson,POR,"$2,844,430 ","$2,844,430 ",,,,,"$5,688,860 ",nichoan01
