PlayerID,Player,Pos,Age,Team,G,MP,MinM,PER,TS_perc,X3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,X2022_23,C,SG,SF,PG,PF
umudest01,Stanley Umude,SG,23,DET,1,2,8,65.6,0.532,1,2,0,0,0,0,24.1,44,0,39.8,0,0,0,0.623,15.7,32.6,48.4,0,,0,1,0,0,0
jokicni01,Nikola Jokic,C,27,DEN,51,1714,408,31.8,0.703,0.145,0.414,7.4,31.6,19.8,47.3,1.8,1.9,16.8,27.3,8.6,2.7,11.3,0.318,8.6,4.6,13.2,6.6,33047803,1,0,0,0,0
embiijo01,Joel Embiid,C,28,PHI,45,1571,360,30.6,0.646,0.153,0.564,6,27.9,17.1,22.3,1.6,4,12.1,37.2,5.3,2.8,8.1,0.246,6.3,2.1,8.4,4.1,33616770,1,0,0,0,0
doncilu01,Luka Doncic,PG,23,DAL,50,1826,400,30.2,0.614,0.353,0.499,2.9,26.1,14.3,44.5,2.1,1.2,11.9,38.3,6.3,2.4,8.6,0.226,8.2,1.9,10.1,5.5,37096500,0,0,0,1,0
antetgi01,Giannis Antetokounmpo,PF,28,MIL,47,1554,376,28.4,0.595,0.143,0.617,7.5,30,19.1,31.4,1.1,2,13,39,3.5,2.9,6.4,0.197,5.4,2.5,7.9,3.9,42492492,0,0,0,0,1
davisan02,Anthony Davis,C,29,LAL,35,1168,280,28.4,0.628,0.085,0.417,10.8,28.1,19.7,12.7,1.7,5.1,9.3,28.8,3.4,2,5.4,0.224,4.6,1.7,6.3,2.4,37980720,1,0,0,0,0
gilgesh01,Shai Gilgeous-Alexander,PG,24,OKC,53,1877,424,27.3,0.624,0.129,0.521,2.6,11.8,7.1,26.2,2.2,2.8,10.5,32.5,6.7,2.3,8.9,0.229,5.7,1.3,7.1,4.3,30913750,0,0,0,1,0
lillada01,Damian Lillard,PG,32,POR,46,1665,368,26.6,0.648,0.551,0.45,2,11.7,6.9,34.3,1.1,0.7,11.6,33.1,7,0.8,7.8,0.224,8.3,-1.2,7,3.8,42492492,0,0,0,1,0
duranke01,Kevin Durant,PF,34,BRK,39,1403,312,26.5,0.673,0.257,0.39,1.2,19.3,10.6,25.1,1.1,3.5,13.7,31.7,4.2,1.7,5.9,0.201,5.9,1,7,3.2,44119845,0,0,0,0,1
jacksqu01,Quenton Jackson,PG,24,WAS,3,8,24,26.1,0.833,0.667,0,14.5,0,6.9,20.1,0,0,0,16.3,0.1,0,0.1,0.317,8.9,-2.1,6.8,0,,0,0,0,1,0
sprinja01,Jaden Springer,SG,20,PHI,7,26,56,26.1,0.618,0,0.333,18.2,13.4,15.8,6.8,3.8,7.1,6.8,25.3,0.1,0.1,0.1,0.253,-1.1,2.6,1.6,0,2125200,0,1,0,0,0
marjabo01,Boban Marjanovic,C,34,HOU,19,83,152,25.9,0.709,0.031,0.531,11.8,26.3,19.1,8.4,0.6,1.2,11.2,22.1,0.3,0.1,0.4,0.207,5.2,-1.3,3.9,0.1,3500000,1,0,0,0,0
butleji01,Jimmy Butler,SF,33,MIA,44,1482,352,25.4,0.613,0.122,0.56,7.2,13.6,10.3,25.3,3,1.1,8.7,25.4,5.1,2.4,7.5,0.242,5.3,2.1,7.4,3.5,37653300,0,0,1,0,0
willizi01,Zion Williamson,PF,22,NOP,29,956,232,25.3,0.652,0.041,0.529,6.8,17,11.9,24.3,1.6,1.6,14.6,30.1,2.4,1.2,3.6,0.181,4.9,0.9,5.7,1.9,13534817,0,0,0,0,1
jamesle01,LeBron James,PF,38,LAL,45,1632,360,24.9,0.59,0.307,0.281,3.4,20.8,12.4,33.7,1.2,1.3,11,33.2,3.2,1.8,5,0.147,5.8,0.6,6.5,3.5,44474988,0,0,0,0,1
curryst01,Stephen Curry,PG,34,GSW,38,1313,304,24.8,0.665,0.577,0.274,1.9,18.2,10.2,30.6,1.3,1,12.7,30.8,4.1,1.3,5.4,0.199,7.9,0.4,8.3,3.4,48070014,0,0,0,1,0
tatumja01,Jayson Tatum,PF,24,BOS,55,2051,440,24,0.608,0.435,0.401,3.1,21.9,12.7,20.6,1.4,1.8,10.3,32.9,4.9,3.1,7.9,0.186,5,0.5,5.5,3.9,30351780,0,0,0,0,1
